Report Date,Enrollments,Loyalty Sale Transactions,Loyalty Return Transactions,Non-Loyalty Sale Transactions,Non-Loyalty Return Transactions,Base Points Earned,Bonus Points Earned,Adjusted Points Earned,Base Points Redeemed,Bonus Points Redeemed,Adjusted Points Redeemed,Base Points Expired,Bonus Points Expired,Adjusted Points Expired,Base Points Forfeited,Bonus Points Forfeited,Adjusted Points Forfeited,Loyalty Certificates Issued,Loyalty Certificates Issued Amount,Loyalty Certificates Redeemed,Loyalty Certificates Redeemed Amount,Daily $20 Birthday Certificate,Tier Upgrades,Tier Downgrades
4/17/2026,1694,29427,2687,5220,278,17946048,15135826,13632,-9809116,-16555662,-59222,-2079927,-760133,132231,0,0,0,7853,88080,5307,89708.37,0,501,0
4/18/2026,2248,27432,3174,5549,327,17865667,13948598,6000,-9373834,-15484505,-50661,-1688274,-644747,82827,0,0,0,7402,83030,5006,86007.74,0,497,0
4/19/2026,1964,21892,4371,3970,383,15765912,12460992,9590,-7938342,-13703976,-32682,-1884436,-680296,37162,0,0,0,6440,72250,3183,53236.7,0,417,0
4/20/2026,1157,13600,2776,2580,245,8704586,19287601,34000,-4266189,-7755289,-20522,-2232119,-697590,64456,0,-3,0,3636,40140,1605,26505.07,0,209,0
4/21/2026,1079,23108,2815,4926,362,15992070,23502668,41510,-14815378,-28938515,-82107,-1825217,-556840,45514,0,0,0,10912,146120,4019,67142.86,0,496,0
4/22/2026,1163,28051,2838,5508,363,20344647,28421467,23000,-14493778,-25667907,-53315,-953175,-387116,14035,0,0,0,10021,134050,5279,89549.02,0,637,0
4/23/2026,1247,26206,2942,5364,338,17226250,33810173,30732,-14224740,-28226532,-94728,-1888099,-630712,50532,0,0,0,9709,141830,4432,71806.29,0,523,0
4/24/2026,1480,32614,2798,5900,332,21116459,50681250,13500,-19394643,-42196063,-71294,-2433418,-681897,81767,0,0,0,13042,205540,6137,98985.52,0,617,0
4/25/2026,2206,30128,3150,5544,401,21307207,60031591,9000,-21759966,-48659394,-95640,-1994391,-784947,23935,0,0,0,14261,235050,5875,97852.79,0,653,0
4/26/2026,1439,24987,4321,4205,367,18579535,53597533,6000,-18664324,-42750588,-73088,-1670657,-835840,37674,0,0,0,12249,204960,4139,65865.13,0,552,0
4/27/2026,1029,12919,2676,2274,217,8493953,23836511,21840,-8492860,-18551306,-15834,-1922457,-1261202,133020,0,-8,0,5737,90200,2065,31240.16,0,243,0
4/28/2026,909,25757,2765,5686,358,17894435,47483832,22800,-16600091,-39965732,-47177,-2037923,-1325645,96494,0,0,0,11930,188730,5021,81302.24,1,574,0
4/29/2026,1096,26097,2896,5059,383,19344577,49911082,48500,-17754402,-43320795,-73803,-921176,-604384,25065,0,0,0,12341,203830,6125,101449.52,0,634,0
4/30/2026,1242,27558,2928,5027,335,18948328,40089763,36500,-14684405,-36120058,-120537,-1587619,-917670,33417,0,0,0,11290,169750,6769,105150.83,433958,591,0
